customer_id,first_name,last_name,gender,date_of_birth,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,address,property_valuation,location_id
15,Erroll,Radage,Male,2000-07-13 00:00:00,Junior Executive,Manufacturing,Mass Customer,N,No,82391 Kensington Lane,9,360
16,Harlin,Parr,Male,1977-02-27 00:00:00,Media Manager IV,,Mass Customer,N,Yes,092 2nd Alley,12,16
16,Harlin,Parr,Male,1977-02-27 00:00:00,Media Manager IV,,Mass Customer,N,Yes,092 2nd Alley,12,887
17,Heath,Faraday,Male,1962-03-19 00:00:00,Sales Associate,,Affluent Customer,N,Yes,59 Spaight Circle,9,17
17,Heath,Faraday,Male,1962-03-19 00:00:00,Sales Associate,,Affluent Customer,N,Yes,59 Spaight Circle,9,132
18,Marjie,Neasham,Female,1967-07-06 00:00:00,Professor,,Affluent Customer,N,No,032 Bartelt Crossing,8,18
18,Marjie,Neasham,Female,1967-07-06 00:00:00,Professor,,Affluent Customer,N,No,032 Bartelt Crossing,8,868
19,Sorcha,Keyson,Female,2001-04-15 00:00:00,Geological Engineer,Manufacturing,High Net Worth,N,No,18 Jenna Center,7,7
19,Sorcha,Keyson,Female,2001-04-15 00:00:00,Geological Engineer,Manufacturing,High Net Worth,N,No,18 Jenna Center,7,546
20,Basile,Firth,Male,1980-08-13 00:00:00,Project Manager,Manufacturing,Mass Customer,N,No,3 Cordelia Plaza,10,2
20,Basile,Firth,Male,1980-08-13 00:00:00,Project Manager,Manufacturing,Mass Customer,N,No,3 Cordelia Plaza,10,181
21,Mile,Cammocke,Male,1980-09-20 00:00:00,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,28 5th Center,3,19
22,Deeanne,Durtnell,Female,1962-12-10 00:00:00,,IT,Mass Customer,N,No,52 Carey Alley,5,20
23,Olav,Polak,Male,1995-02-10 00:00:00,,,High Net Worth,N,Yes,96 Texas Plaza,7,21
24,Kim,Skpsey,Female,1977-12-03 00:00:00,Research Assistant I,Argiculture,Mass Customer,N,Yes,48 Eagan Avenue,4,22
25,Geoff,Assaf,Male,1976-12-02 00:00:00,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,9 Buell Park,7,23
26,Trixi,Ginnelly,Female,1978-06-10 00:00:00,Editor,Financial Services,Mass Customer,N,Yes,02663 Buell Parkway,11,24
26,Trixi,Ginnelly,Female,1978-06-10 00:00:00,Editor,Financial Services,Mass Customer,N,Yes,02663 Buell Parkway,11,190
27,Garvin,Klees,Male,1978-09-25 00:00:00,Research Nurse,Health,Mass Customer,N,Yes,2294 Pleasure Place,12,16
27,Garvin,Klees,Male,1978-09-25 00:00:00,Research Nurse,Health,Mass Customer,N,Yes,2294 Pleasure Place,12,887
28,Fee,Zellmer,Male,1973-09-30 00:00:00,Senior Quality Engineer,Health,Affluent Customer,N,Yes,2951 Petterle Place,9,25
28,Fee,Zellmer,Male,1973-09-30 00:00:00,Senior Quality Engineer,Health,Affluent Customer,N,Yes,2951 Petterle Place,9,323
29,Mona,Sancraft,Female,1968-06-22 00:00:00,Safety Technician III,Manufacturing,Mass Customer,N,No,63 Lukken Drive,9,26
29,Mona,Sancraft,Female,1968-06-22 00:00:00,Safety Technician III,Manufacturing,Mass Customer,N,No,63 Lukken Drive,9,289
30,Darrick,Helleckas,Male,1961-10-18 00:00:00,,IT,Affluent Customer,N,Yes,833 Luster Way,8,27
31,Star,Praton,Female,1962-11-24 00:00:00,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,34 Russell Plaza,6,28
32,Marion,Vanichkin,Female,1995-04-20 00:00:00,Legal Assistant,Manufacturing,Affluent Customer,N,No,78 Del Sol Hill,8,29
33,Ernst,Hacon,Male,1957-06-25 00:00:00,Product Engineer,,Affluent Customer,N,Yes,54 Sage Plaza,1,30
34,Jephthah,Bachmann,U,1843-12-21,Legal Assistant,IT,Affluent Customer,N,No,90 Lawn Parkway,4,31
35,Margaretha,Strettle,Female,1963-09-28 00:00:00,Information Systems Manager,Health,High Net Worth,N,Yes,38726 Ilene Crossing,10,32
35,Margaretha,Strettle,Female,1963-09-28 00:00:00,Information Systems Manager,Health,High Net Worth,N,Yes,38726 Ilene Crossing,10,442
36,Lurette,Stonnell,Female,1977-11-09 00:00:00,VP Quality Control,,Affluent Customer,N,No,3496 Brown Drive,8,33
36,Lurette,Stonnell,Female,1977-11-09 00:00:00,VP Quality Control,,Affluent Customer,N,No,3496 Brown Drive,8,726
37,Laurie,Dwerryhouse,Female,1985-12-22 00:00:00,Social Worker,Health,High Net Worth,N,No,7188 Cody Way,9,34
38,Cordi,Merman,Female,1955-10-29 00:00:00,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,1 Claremont Park,10,35
39,Hunfredo,Smalley,Male,1979-04-16 00:00:00,Assistant Media Planner,Entertainment,Mass Customer,N,No,60 Eagan Circle,8,36
40,Tomasine,Jerche,Female,1981-10-27 00:00:00,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,89314 Eagle Crest Center,2,37
41,Basilius,Coupe,Male,1976-04-14 00:00:00,Food Chemist,Health,Mass Customer,N,No,2028 Lakewood Place,3,38
41,Basilius,Coupe,Male,1976-04-14 00:00:00,Food Chemist,Health,Mass Customer,N,No,2028 Lakewood Place,3,665
42,Chiquita,Durnall,Female,1977-03-28 00:00:00,Accountant III,Manufacturing,Mass Customer,N,No,70875 Hudson Point,6,39
43,Indira,Belt,Female,1983-03-01 00:00:00,Director of Sales,Retail,Mass Customer,N,No,543 Killdeer Park,4,40
43,Indira,Belt,Female,1983-03-01 00:00:00,Director of Sales,Retail,Mass Customer,N,No,543 Killdeer Park,4,290
44,Neron,Verick,Male,1981-10-18 00:00:00,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,22125 Ramsey Drive,9,41
45,Trace,Woodhead,Male,1975-09-23 00:00:00,Senior Financial Analyst,Financial Services,Mass Customer,N,No,3107 Calypso Terrace,9,6
45,Trace,Woodhead,Male,1975-09-23 00:00:00,Senior Financial Analyst,Financial Services,Mass Customer,N,No,3107 Calypso Terrace,9,337
46,Kaila,Allin,Female,1972-02-26 00:00:00,,,Affluent Customer,N,Yes,957 Veith Junction,10,42
46,Kaila,Allin,Female,1972-02-26 00:00:00,,,Affluent Customer,N,Yes,957 Veith Junction,10,309
47,Matthew,Jeaycock,Male,1992-10-22 00:00:00,Registered Nurse,Health,Affluent Customer,N,No,4853 Gulseth Avenue,5,43
48,Rebbecca,Casone,Female,1975-08-15 00:00:00,Biostatistician II,,Mass Customer,N,Yes,9 Michigan Terrace,8,44
48,Rebbecca,Casone,Female,1975-08-15 00:00:00,Biostatistician II,,Mass Customer,N,Yes,9 Michigan Terrace,8,195
49,Nolly,Ownsworth,Male,1994-01-26 00:00:00,VP Quality Control,,Affluent Customer,N,No,62 Steensland Road,3,45
50,Whitby,Schapero,Male,1980-10-01 00:00:00,Account Executive,Manufacturing,Mass Customer,N,Yes,6 Homewood Avenue,8,46
50,Whitby,Schapero,Male,1980-10-01 00:00:00,Account Executive,Manufacturing,Mass Customer,N,Yes,6 Homewood Avenue,8,366
51,Fidelio,Dilke,Male,1959-12-05 00:00:00,Computer Systems Analyst II,Retail,Mass Customer,N,No,15 Almo Lane,10,47
51,Fidelio,Dilke,Male,1959-12-05 00:00:00,Computer Systems Analyst II,Retail,Mass Customer,N,No,15 Almo Lane,10,918
52,Curran,Bentson,Male,1988-06-22 00:00:00,,Financial Services,Mass Customer,N,Yes,690 Glacier Hill Circle,10,48
52,Curran,Bentson,Male,1988-06-22 00:00:00,,Financial Services,Mass Customer,N,Yes,690 Glacier Hill Circle,10,643
53,Agnella,Gocke,Female,1954-04-18 00:00:00,Software Test Engineer II,Financial Services,Mass Customer,N,No,89787 Village Green Terrace,6,49
54,Loralyn,Wonfor,Femal,1966-07-24 00:00:00,Sales Associate,Property,Mass Customer,N,Yes,18 Elgar Park,9,50
54,Loralyn,Wonfor,Femal,1966-07-24 00:00:00,Sales Associate,Property,Mass Customer,N,Yes,18 Elgar Park,9,300
55,Linc,Jillions,Male,1956-09-24 00:00:00,Paralegal,Financial Services,Affluent Customer,N,Yes,413 Mayer Street,9,51
55,Linc,Jillions,Male,1956-09-24 00:00:00,Paralegal,Financial Services,Affluent Customer,N,Yes,413 Mayer Street,9,367
56,Reese,Ensor,Male,1996-07-04 00:00:00,VP Sales,Property,Mass Customer,N,Yes,39 3rd Drive,10,52
56,Reese,Ensor,Male,1996-07-04 00:00:00,VP Sales,Property,Mass Customer,N,Yes,39 3rd Drive,10,378
57,Abba,Masedon,M,1988-06-13 00:00:00,Chief Design Engineer,,Mass Customer,N,Yes,44516 Katie Parkway,7,53
57,Abba,Masedon,M,1988-06-13 00:00:00,Chief Design Engineer,,Mass Customer,N,Yes,44516 Katie Parkway,7,241
58,Dalenna,Pinnock,Female,1967-07-04 00:00:00,Office Assistant III,Financial Services,Affluent Customer,N,Yes,41 Schurz Center,8,54
58,Dalenna,Pinnock,Female,1967-07-04 00:00:00,Office Assistant III,Financial Services,Affluent Customer,N,Yes,41 Schurz Center,8,211
59,Niki,Heathcote,Male,2000-02-08 00:00:00,Physical Therapy Assistant,,High Net Worth,N,No,68150 Boyd Road,9,55
59,Niki,Heathcote,Male,2000-02-08 00:00:00,Physical Therapy Assistant,,High Net Worth,N,No,68150 Boyd Road,9,410
60,Nadiya,Champerlen,Female,1970-02-04 00:00:00,,Manufacturing,Mass Customer,N,No,11474 Westend Hill,8,56
60,Nadiya,Champerlen,Female,1970-02-04 00:00:00,,Manufacturing,Mass Customer,N,No,11474 Westend Hill,8,471
61,Kacey,Rowbottom,Female,1959-11-29 00:00:00,Help Desk Operator,Property,High Net Worth,N,No,308 Jana Crossing,10,2
61,Kacey,Rowbottom,Female,1959-11-29 00:00:00,Help Desk Operator,Property,High Net Worth,N,No,308 Jana Crossing,10,181
62,Sorcha,Roggers,Female,1979-07-06 00:00:00,,IT,Mass Customer,N,Yes,163 Straubel Trail,10,57
62,Sorcha,Roggers,Female,1979-07-06 00:00:00,,IT,Mass Customer,N,Yes,163 Straubel Trail,10,346
63,Ebony,Zini,Female,1965-07-03 00:00:00,Senior Quality Engineer,Retail,Mass Customer,N,Yes,68294 Clarendon Crossing,10,58
63,Ebony,Zini,Female,1965-07-03 00:00:00,Senior Quality Engineer,Retail,Mass Customer,N,Yes,68294 Clarendon Crossing,10,418
64,Gerek,Yve,Male,1978-03-25 00:00:00,Legal Assistant,IT,High Net Worth,N,No,486 Mariners Cove Plaza,7,59
65,Yale,Tanser,Male,1976-04-01 00:00:00,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,0322 Dryden Court,7,60
65,Yale,Tanser,Male,1976-04-01 00:00:00,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,0322 Dryden Court,7,497
66,Anselm,Gawne,Male,2002-03-11 00:00:00,Account Executive,Argiculture,High Net Worth,N,No,9 Bonner Road,12,61
66,Anselm,Gawne,Male,2002-03-11 00:00:00,Account Executive,Argiculture,High Net Worth,N,No,9 Bonner Road,12,182
67,Vernon,,Male,1960-06-14 00:00:00,Web Developer II,Retail,Mass Customer,N,No,07041 Briar Crest Lane,10,62
67,Vernon,,Male,1960-06-14 00:00:00,Web Developer II,Retail,Mass Customer,N,No,07041 Briar Crest Lane,10,347
68,Dahlia,Eddoes,Female,1974-04-21 00:00:00,Information Systems Manager,,Affluent Customer,N,No,29466 Hanson Pass,6,63
69,Heidi,Milner,Female,1969-06-22 00:00:00,Web Developer II,,Mass Customer,N,No,0212 Forest Run Trail,8,64
69,Heidi,Milner,Female,1969-06-22 00:00:00,Web Developer II,,Mass Customer,N,No,0212 Forest Run Trail,8,720
70,Foster,Vannoort,Male,1993-02-27 00:00:00,Paralegal,Financial Services,Affluent Customer,N,No,33055 Menomonie Parkway,8,65
71,Hoyt,Glavias,Male,1985-01-27 00:00:00,Research Associate,Argiculture,Affluent Customer,N,Yes,4763 Merchant Avenue,8,25
71,Hoyt,Glavias,Male,1985-01-27 00:00:00,Research Associate,Argiculture,Affluent Customer,N,Yes,4763 Merchant Avenue,8,323
72,Sammy,Cheese,Male,1972-02-13 00:00:00,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,439 Ridgeway Court,9,66
73,Minette,Worters,Female,1960-05-27 00:00:00,Teacher,,Affluent Customer,N,Yes,2 Clyde Gallagher Lane,5,67
74,Pansy,Kiddie,Female,1969-06-19 00:00:00,,,Mass Customer,N,Yes,97455 Loeprich Lane,9,2
74,Pansy,Kiddie,Female,1969-06-19 00:00:00,,,Mass Customer,N,Yes,97455 Loeprich Lane,9,181
75,Dollie,Sealy,Female,1978-07-15 00:00:00,VP Product Management,Property,Mass Customer,N,No,9527 Ridgeway Street,10,68
75,Dollie,Sealy,Female,1978-07-15 00:00:00,VP Product Management,Property,Mass Customer,N,No,9527 Ridgeway Street,10,538
76,Rea,Hasser,Female,1978-01-23 00:00:00,Statistician II,Retail,High Net Worth,N,Yes,7 Jackson Point,1,69
77,Shermie,Andrin,Male,1989-09-12 00:00:00,Automation Specialist IV,Financial Services,Mass Customer,N,No,74 Anniversary Junction,6,70
77,Shermie,Andrin,Male,1989-09-12 00:00:00,Automation Specialist IV,Financial Services,Mass Customer,N,No,74 Anniversary Junction,6,123
78,Arch,Van der Kruis,Male,1985-03-12 00:00:00,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,2083 Spaight Court,8,71
79,Tybi,Silliman,Female,1968-10-02 00:00:00,Account Executive,Manufacturing,Mass Customer,N,No,2796 Caliangt Circle,12,72
79,Tybi,Silliman,Female,1968-10-02 00:00:00,Account Executive,Manufacturing,Mass Customer,N,No,2796 Caliangt Circle,12,209
80,Pablo,Small,Male,1978-04-24 00:00:00,Data Coordiator,Entertainment,Mass Customer,N,No,96061 Ludington Place,11,73
80,Pablo,Small,Male,1978-04-24 00:00:00,Data Coordiator,Entertainment,Mass Customer,N,No,96061 Ludington Place,11,659
81,Bee,Blazewicz,Female,1986-09-04 00:00:00,,Health,High Net Worth,N,No,5037 Merchant Crossing,11,74
81,Bee,Blazewicz,Female,1986-09-04 00:00:00,,Health,High Net Worth,N,No,5037 Merchant Crossing,11,194
82,Gleda,Cokely,Female,1965-06-28 00:00:00,Software Test Engineer III,Property,High Net Worth,N,No,289 Haas Street,11,75
82,Gleda,Cokely,Female,1965-06-28 00:00:00,Software Test Engineer III,Property,High Net Worth,N,No,289 Haas Street,11,193
83,Kerr,Simmell,Male,1967-02-26 00:00:00,Internal Auditor,IT,Mass Customer,N,Yes,4423 Bartelt Parkway,12,76
83,Kerr,Simmell,Male,1967-02-26 00:00:00,Internal Auditor,IT,Mass Customer,N,Yes,4423 Bartelt Parkway,12,853
84,Rich,Mathiasen,Male,1958-02-07 00:00:00,Accountant III,,Mass Customer,N,Yes,5 Grim Center,12,77
84,Rich,Mathiasen,Male,1958-02-07 00:00:00,Accountant III,,Mass Customer,N,Yes,5 Grim Center,12,125
85,Kane,Tixall,Male,1958-05-21 00:00:00,Analyst Programmer,,Mass Customer,N,No,73042 Roth Crossing,11,78
85,Kane,Tixall,Male,1958-05-21 00:00:00,Analyst Programmer,,Mass Customer,N,No,73042 Roth Crossing,11,310
86,Job,Sleney,Male,1989-03-04 00:00:00,Occupational Therapist,Health,High Net Worth,N,Yes,171 Fordem Junction,10,17
86,Job,Sleney,Male,1989-03-04 00:00:00,Occupational Therapist,Health,High Net Worth,N,Yes,171 Fordem Junction,10,132
87,Fields,Langdon,Male,1974-04-23 00:00:00,Editor,Financial Services,Mass Customer,N,No,2640 Manley Point,9,50
87,Fields,Langdon,Male,1974-04-23 00:00:00,Editor,Financial Services,Mass Customer,N,No,2640 Manley Point,9,300
88,Malynda,Tumber,Female,1966-02-03 00:00:00,Help Desk Operator,Property,High Net Worth,N,Yes,3 Hintze Pass,10,79
89,Benedicto,Hoxey,Male,1967-01-22 00:00:00,Speech Pathologist,Health,Mass Customer,N,Yes,2 Mcbride Road,10,80
89,Benedicto,Hoxey,Male,1967-01-22 00:00:00,Speech Pathologist,Health,Mass Customer,N,Yes,2 Mcbride Road,10,375
90,Cary,Garron,Male,1984-11-12 00:00:00,Quality Control Specialist,Manufacturing,Mass Customer,N,No,67234 Transport Hill,7,81
90,Cary,Garron,Male,1984-11-12 00:00:00,Quality Control Specialist,Manufacturing,Mass Customer,N,No,67234 Transport Hill,7,496
91,Dylan,Meaker,Male,1955-02-24 00:00:00,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,72 Dorton Crossing,10,79
92,Jodee,Judkins,Female,1980-09-11 00:00:00,Recruiting Manager,Health,Mass Customer,N,No,6 Heffernan Center,11,82
92,Jodee,Judkins,Female,1980-09-11 00:00:00,Recruiting Manager,Health,Mass Customer,N,No,6 Heffernan Center,11,758
93,Gordon,Gowar,Male,1976-07-16 00:00:00,Project Manager,Retail,Mass Customer,N,Yes,6088 Roxbury Hill,8,83
93,Gordon,Gowar,Male,1976-07-16 00:00:00,Project Manager,Retail,Mass Customer,N,Yes,6088 Roxbury Hill,8,145
94,Wallache,Simchenko,Male,1974-08-07 00:00:00,Civil Engineer,Manufacturing,Mass Customer,N,No,105 Shelley Alley,10,84
94,Wallache,Simchenko,Male,1974-08-07 00:00:00,Civil Engineer,Manufacturing,Mass Customer,N,No,105 Shelley Alley,10,192
95,Nomi,Mallinder,Female,1960-12-25 00:00:00,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,079 Merry Park,9,85
95,Nomi,Mallinder,Female,1960-12-25 00:00:00,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,079 Merry Park,9,344
96,Heath,Olford,Male,1968-08-31 00:00:00,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8722 Summit Alley,12,86
96,Heath,Olford,Male,1968-08-31 00:00:00,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8722 Summit Alley,12,134
97,Arne,Corain,Male,1979-07-27 00:00:00,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,9554 Artisan Pass,10,87
97,Arne,Corain,Male,1979-07-27 00:00:00,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,9554 Artisan Pass,10,515
98,Allianora,Babalola,Female,1956-03-17 00:00:00,Safety Technician IV,Health,Mass Customer,N,No,55850 Butterfield Road,9,88
98,Allianora,Babalola,Female,1956-03-17 00:00:00,Safety Technician IV,Health,Mass Customer,N,No,55850 Butterfield Road,9,449
99,Reggie,Mulliner,Male,1998-06-13 00:00:00,VP Accounting,Financial Services,Mass Customer,N,No,68 Little Fleur Crossing,12,51
99,Reggie,Mulliner,Male,1998-06-13 00:00:00,VP Accounting,Financial Services,Mass Customer,N,No,68 Little Fleur Crossing,12,367
100,Tripp,Steed,Male,1968-05-11 00:00:00,General Manager,Financial Services,Mass Customer,N,Yes,85688 New Castle Crossing,10,89
101,Goran,Kwietek,Male,1975-12-29 00:00:00,Nurse Practicioner,Manufacturing,High Net Worth,N,No,8611 Loomis Lane,10,90
101,Goran,Kwietek,Male,1975-12-29 00:00:00,Nurse Practicioner,Manufacturing,High Net Worth,N,No,8611 Loomis Lane,10,282
102,Langsdon,Tranfield,Male,1956-11-27 00:00:00,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,7909 Pierstorff Crossing,9,91
103,Ethyl,Runham,Female,1997-04-21 00:00:00,Product Engineer,Financial Services,Affluent Customer,N,Yes,01 Muir Parkway,12,92
103,Ethyl,Runham,Female,1997-04-21 00:00:00,Product Engineer,Financial Services,Affluent Customer,N,Yes,01 Muir Parkway,12,294
104,Odille,Panketh,Female,1978-06-06 00:00:00,Automation Specialist II,Health,Mass Customer,N,Yes,0410 Division Junction,8,93
104,Odille,Panketh,Female,1978-06-06 00:00:00,Automation Specialist II,Health,Mass Customer,N,Yes,0410 Division Junction,8,200
105,Maribeth,Pristnor,Female,2001-09-17 00:00:00,Recruiting Manager,Manufacturing,Mass Customer,N,No,41 Service Lane,11,57
105,Maribeth,Pristnor,Female,2001-09-17 00:00:00,Recruiting Manager,Manufacturing,Mass Customer,N,No,41 Service Lane,11,346
106,Glyn,,Male,1966-07-03 00:00:00,Software Test Engineer III,Health,High Net Worth,N,Yes,5 Moose Road,8,71
107,Pris,Stallebrass,Female,1990-07-01 00:00:00,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,7342 Fieldstone Junction,12,94
107,Pris,Stallebrass,Female,1990-07-01 00:00:00,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,7342 Fieldstone Junction,12,519
108,Kayle,Mingaud,Female,1994-03-14 00:00:00,,,High Net Worth,N,No,0 David Terrace,11,95
109,Cody,Blabey,Male,1978-12-11 00:00:00,Marketing Assistant,,Affluent Customer,N,Yes,15239 Northwestern Point,4,96
110,Sascha,St. Quintin,Male,2000-07-31 00:00:00,,Financial Services,Affluent Customer,N,No,60 Oneill Street,9,26
110,Sascha,St. Quintin,Male,2000-07-31 00:00:00,,Financial Services,Affluent Customer,N,No,60 Oneill Street,9,289
111,Cele,Evason,Female,1993-08-29 00:00:00,Analyst Programmer,,Mass Customer,N,No,8194 Sachtjen Drive,1,97
112,Shena,Parren,Female,1975-08-12 00:00:00,Marketing Manager,Retail,High Net Worth,N,No,0349 Farmco Terrace,8,88
112,Shena,Parren,Female,1975-08-12 00:00:00,Marketing Manager,Retail,High Net Worth,N,No,0349 Farmco Terrace,8,449
113,Gage,Nickless,Male,1956-05-06 00:00:00,Staff Scientist,,Mass Customer,N,No,185 Pennsylvania Way,6,98
114,Sunny,Swindells,Female,1985-10-23 00:00:00,Teacher,Entertainment,Affluent Customer,N,No,432 Longview Circle,10,99
114,Sunny,Swindells,Female,1985-10-23 00:00:00,Teacher,Entertainment,Affluent Customer,N,No,432 Longview Circle,10,350
115,Alberik,Mereweather,Male,1981-12-21 00:00:00,Account Executive,Health,Mass Customer,N,No,5814 Bunker Hill Street,7,80
115,Alberik,Mereweather,Male,1981-12-21 00:00:00,Account Executive,Health,Mass Customer,N,No,5814 Bunker Hill Street,7,375
116,Scottie,Swiffen,Male,1999-02-05 00:00:00,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,7 Carberry Crossing,2,100
117,Nance,Suttling,Female,1982-02-23 00:00:00,Marketing Manager,Manufacturing,Mass Customer,N,No,53 Talisman Trail,9,101
117,Nance,Suttling,Female,1982-02-23 00:00:00,Marketing Manager,Manufacturing,Mass Customer,N,No,53 Talisman Trail,9,429
118,Prentice,Pearmain,Male,1959-11-12 00:00:00,Budget/Accounting Analyst IV,,High Net Worth,N,No,5 Prairie Rose Road,2,102
119,Willey,Chastanet,Male,1981-12-04 00:00:00,Associate Professor,,High Net Worth,N,Yes,84 Florence Parkway,8,103
119,Willey,Chastanet,Male,1981-12-04 00:00:00,Associate Professor,,High Net Worth,N,Yes,84 Florence Parkway,8,254
120,Sloan,Wagg,Male,1978-09-02 00:00:00,Legal Assistant,Financial Services,High Net Worth,N,Yes,739 Elmside Way,8,104
121,Myles,Pauncefort,Male,1957-10-02 00:00:00,Graphic Designer,Manufacturing,Mass Customer,N,No,684 Northport Circle,10,62
121,Myles,Pauncefort,Male,1957-10-02 00:00:00,Graphic Designer,Manufacturing,Mass Customer,N,No,684 Northport Circle,10,347
122,Colver,Itter,Male,1979-04-19 00:00:00,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,8 Hagan Hill,4,105
123,Almeta,Kalinsky,Female,1988-12-03 00:00:00,Analyst Programmer,Financial Services,High Net Worth,N,No,0 Pearson Crossing,1,106
124,Kath,Cunney,Female,1995-05-03 00:00:00,Administrative Assistant II,Health,High Net Worth,N,Yes,10918 Merry Way,5,107
124,Kath,Cunney,Female,1995-05-03 00:00:00,Administrative Assistant II,Health,High Net Worth,N,Yes,10918 Merry Way,5,621
125,Darrelle,Antoniewski,Female,1960-03-17 00:00:00,Computer Systems Analyst II,Property,Mass Customer,N,No,97 Coolidge Trail,9,46
125,Darrelle,Antoniewski,Female,1960-03-17 00:00:00,Computer Systems Analyst II,Property,Mass Customer,N,No,97 Coolidge Trail,9,366
126,Norman,Cliff,Male,1992-10-15 00:00:00,Administrative Officer,Health,Mass Customer,N,Yes,58 Helena Hill,7,108
126,Norman,Cliff,Male,1992-10-15 00:00:00,Administrative Officer,Health,Mass Customer,N,Yes,58 Helena Hill,7,942
127,Merrili,Whitear,Female,1974-12-03 00:00:00,Compensation Analyst,Financial Services,Mass Customer,N,No,352 Forster Place,3,109
128,Isidro,Cypler,Male,1977-07-17 00:00:00,Systems Administrator III,Property,Mass Customer,N,Yes,12306 Lawn Street,8,44
128,Isidro,Cypler,Male,1977-07-17 00:00:00,Systems Administrator III,Property,Mass Customer,N,Yes,12306 Lawn Street,8,195
